purchase_time,customer_id,product_id,purchase_id,quantity,price
2017-09-15T10:16:09,235183200420,GL1314,QVO4MLLHV9JY44R,1,60.08
2017-09-12T22:53:27,867356415604,BM7773,M7RIWKDDTXSGTQ0,1,64.17
2017-09-07T20:48:42,642248747324,OA7490,1NN4EBLUXVASQGB,3,68.62
2017-09-27T09:36:42,301281566059,VT4737,BIKZPRODBPCSBBV,3,62.56
2017-09-19T00:55:10,610142090003,AD1300,1ZV1DJZMFP08BCD,2,55.54
2017-09-11T15:34:04,799721345042,EC4030,ZMI86EWXQY3MBP2,3,52.38
2017-09-30T07:14:26,469969305572,UN1149,AZCSSMPH0RXH8EW,2,65.36
2017-09-14T21:10:05,465927458536,JU0700,N3MC0SJO1UOLEC4,2,37.98
2017-09-24T21:36:27,331576173806,ND3603,BYQ3PRJUA2U98RO,1,44.44
2017-10-01T17:59:50,981412462401,RG3031,T942WOOF49M85OR,3,63.03
2017-09-21T06:08:44,609543665790,RJ2084,13VBTG6F0ES5JVF,3,33.54
2017-09-15T00:30:31,092627926894,WV5332,H5AL7JZ5E0QIIQO,2,49.67
2017-09-17T07:56:01,350492412966,NF3246,H06NT9IOL6KJ32Q,3,65.6
2017-09-21T13:41:20,549725452411,JI1594,WPK2G6OX72I80M5,3,36.04
2017-09-16T02:39:39,458881715725,BM7773,CHX3LAIIDL25GH2,3,64.17
2017-09-22T16:34:41,981412462401,PS7878,SEE17ZBG7T9N27U,2,67.21
2017-09-18T21:41:44,332415491790,ZE5656,8QTEICB68MR8ZIY,3,59.86
2017-09-21T17:53:55,311052049597,GB5209,C7N3PWJWAWZ0LJD,2,40.81
2017-09-11T23:35:24,019395635491,YD3671,JXL76LGGAZKEJRX,2,51.9
2017-09-30T03:50:35,484047741527,FS5836,LE9EUFAY6KXN4UN,2,36.31
2017-09-06T20:27:16,202755931632,JA4855,KY2E8C9V91NF5QD,2,48.81
2017-09-22T22:25:01,761111412092,ZE3920,AZ54Y9FTPWGUVTA,3,46.05
2017-09-12T13:44:07,177800211636,GU0061,RB7EOHB9LU2DJF5,2,61.82
2017-09-25T12:21:46,384012421047,FB1079,CP8YN9Q2Y0XQTA8,3,67.55
2017-09-06T12:41:11,004036977785,FI4075,6Z2UK8UENVMEGCK,2,34.52
2017-09-11T16:08:39,484649370146,RJ2084,A22NQIQVFGQBKS6,2,33.54
2017-09-19T19:02:10,219485051095,SR9110,7RXQ6V0ZYSVUEZR,3,64.35
2017-09-28T07:49:46,128397390233,BW7545,6EK658Y6MH2146W,3,67.99
2017-10-01T14:45:09,301281566059,ND3603,GRRPBQ60ZJEDH8E,2,44.44
2017-09-22T05:28:17,828465735383,GL1314,X1VIP79D8SF53CA,1,60.08
2017-09-30T01:50:45,030862134510,RF3663,MTEXBH9H91QDJM9,3,67.38
2017-09-10T20:29:31,127521650320,KC6206,MEKEBN72EORTTVQ,3,37.65
2017-09-25T01:15:47,991475560453,RY8983,ZA7HVYIQTBZD9FR,2,42.94
2017-09-22T23:20:27,507321286140,RJ0387,OB5DGAQIMAYG5AZ,2,56.77
2017-09-29T16:11:10,706737134784,LQ2354,JZWD592SXITZ9EP,2,57.61
2017-09-16T15:10:14,706737134784,ST0034,22YKT671KL06PL0,2,58.42
2017-09-16T15:47:44,988217640464,ZE3920,X6L0X5QW0WLBMJC,1,46.05
2017-09-11T16:45:24,635509485471,DP5330,5C051L5BH9JRDUI,3,65.74
2017-09-04T13:52:19,670848849608,FR5215,I89THFQTW23O1P7,3,65.42
2017-09-11T05:04:04,449234111080,HX7791,AJPQOQ18XDUBT1T,1,47.07
2017-09-27T12:41:33,831598318988,LZ3771,NTUWH3OY5MY3CAY,2,57.82
2017-09-03T21:42:35,335054229472,RF3663,015VT80M1UO1ZRS,2,67.38
2017-09-27T09:36:42,301281566059,GW5615,BIKZPRODBPCSBBV,3,51.2
2017-09-16T23:20:56,442828261767,DT8385,FM1P9RCQ3606X8Z,3,38.56
2017-09-16T10:43:03,845808988965,OT9102,H0ZVRH5Z9BXEAHJ,2,55.25
2017-10-01T14:28:12,672238908365,EC4030,RB2OZVY3RZZX01I,3,52.38
2017-09-28T13:33:13,051264214752,DT8385,8ZSU0P31MRRVDY0,2,38.56
2017-09-29T10:07:41,860403351760,KR0205,HDIIP4ME6296S44,2,44.03
2017-09-24T07:09:52,598622361980,AI7799,W0JCJYNYGNN3ZEE,1,39.69
2017-10-03T09:38:51,458881715725,OI2730,J9OMY784FLT9L6G,2,62.0
